"This was the most inconvenient and terrible experience I have ever had. When I arrived I was told my reservation had been cancelled. They refused to give me my room claiming they had no rooms available. I had already been charged on my debit card for the hotel so I could not understand why I did not have a room when I arrived. After arguing with the the Marriot receptionist for an hour and constantly calling ""hotels.com"" I was told that they could not give me a room but that they would get me a room at the Hilton.so then my girlfriend and I had to walk all the way to the Hilton with all of our luggage. Not only was this inconvenient but it was also embarrassing. All of this took a ridiculous amount of time which in turn made me very late for the concert that I was there to attend at the convention center. So not only did I have a terrible hotel experience they also ruined my concert experience which I had payed a lot of money for. I will not be booking through hotels.com or staying at the Marriot again. To top it all off the next day the Marriot still charged me $34 for valet parking when I had to walk back to the Marriot from the Hilton to pick up my car(again carrying all my luggage that far). Valet parking is supposed to be convenient which it was not. It would have been closer for me had I self parked.",hotel
"I was in the shower and the toilet overflow flooding the room. I had to wade through ankle deep water to get ready and run to an 8am meeting. I called the hotel GM ""Mark"" and left a detailed voicemail explaining the situation thinking he would call back and at least comp the room. No call back no nothing. I have over 200,000 Marriott rewards points and a black card. Super upsetting to say the least from a lifetime customer's perspective.... unreal.",hotel
"Lousy, people making noise couldn't sleep and the bed was really hard and the worse part was couldn't get in the Arcadia or anywhere else for dinner.Had to eat a hamburger from pegy sues.
",hotel
Noisy with street noise. Service was poor. Didn't even have bottled water in the room. The service phone would always be busy (had to call with cellphone) A bit pricey. Only good thing is proximity to convention center if you are attending conference there,hotel
"They overbooked the hotel and their idea of compensating the overbooked guests was to put us up in a 2 star(at best) motel. They didn't bother to even try to contact any of us ahead of time to let us know they misrepresented that rooms had been reserved for us. I travel a lot and will not spend another dime at any Marriott hotel. ""Reserve"" a room at this hotel at your own risk, but plan on staying at a motel with outside facing doors, window a/c units and lots of noise including police sirens, car alarms and people yelling in the middle of the night.",hotel
"The TV didn't work each time I turned it on. I had to call maintenance to get the signal to work. The excuse I got was that they were upgrading their Hi def. Room service was fact, pleasant and efficient. Service in the restaurant was pitiful. Pancakes were raw, the omlete was no where near what I requested. We sat next to a couple who said order beverage now because you can't be sure it will arrive. They asked 4x for juice and never got it.",hotel
"I am a fan of all Marriotts. I prefer to book with only big name hotels. However, I was disappointed with this one. I booked for 2/15 for a one night stay. Apparently, there were multiple weddings going on this day, as well as a volleyball tournament next door at the convention center. You would think that by the number of reservations this weekend, they would have planned to staff accordingly. WRONG. My boyfriend and I waited 45 FREAKING minutes to get valet service!!! DO YOU KNOW HOW MUCH GAS I WASTED?!?!?! We were stuck in the valet traffic for THAT long and when we were finally helped, NO ONE apologized for the wait time. I WAS EXTREMELY DISAPPOINTED! Although the hotel itself was nice and neat, the room was just OKAY. Our sink was clogged, and when it finally drained 20 minutes later, all the leftover residue of my boyfriend's shavings, my face wash, our toothpaste, and much more were left in the bowl. DISGUSTING! As we were getting ready for our night out on the town, we grabbed the ironing board. It plopped right over, because it was broken. Although the hotel itself was nice, and the location was good, I don't know if I would stay here again. Like I said, I've never experienced this at any other Marriott. In my opinion, service and cleanliness is what makes it or breaks it for me at a hotel. This specific Marriott broke it.",hotel
Never been to any Marriot Hotel and was expecting an above average experience. The view was amazing and the bed comfortable but room was not the cleanest and everything was an additional charge. Very overpriced and would not stay here again.,hotel
"My wife and I have stayed at this property previously over the past two years the last time a year ago and we rated it very highly. Unfortunately this trip with our child wasn't a good experience. We had booked and paid for a two bed Concierge room but arriving at the property was told there no two bed rooms were available - despite our pleading and paid reservation - but a Jr. Suite was available with a pull out sofa at the same price. First tip things weren't going to go too well. Walking down the hallway to the room we encountered duct tape (sorry about the dark pic) holding the hall carpet together. Tip #2. Entering the Jr. Suite we found that it was a handicapped room featuring a no-threshold shower with a short shower curtain. Tip #3 this was going to be a unpleasant experience. Showering flooded the entire bathroom floor. Then there was a cheerleading and volleyball tourney in the convention center which packed this property and the neighboring properties with way too many energetic young ladies bouncing around at all hours. Unfortunately since our stay a year ago, outside the lobby the property has significantly 'tired' from wallpaper seams starting to un-glue, banged up and heavily scuffed walls, faded common area carpet. Couple all the above with a less than helpful, uncaring check-in person with the coupe de grace of 2 day uncleaned vomit on the sidewalk next to the drive entrance and we most likely won't return. Behind the property is $7 overnight parking.",hotel
"At 1am there were people in the hall yelling, the cops arrived and were dealing with the situation until 3am. When I asked for a late check-out they told me no, even though they were not able to handle the chaos until 3:30am. I parked my car in valley, BIG MISTAKE!! It took an hour for me to get my car.",hotel
